Episode,NumGreen,NumYellow,NumRed,NumWaste,WasteLeft,DisposedWaste,TotalReward,AvgActorLoss,AvgCriticLoss,AvgEntropy
87,1,1,1,10.5,0,0,51.42,-0.0147,4.9224,1.4621
88,1,1,1,8.9,0,0,45.14,-0.0147,4.9224,1.4621
89,1,1,1,10.1,0,0,50.47,-0.0147,3.6217,1.4607
90,1,1,1,9.0,0,0,45.11,-0.0147,3.6217,1.4607
91,1,1,1,10.4,0,0,62.43,-0.0147,3.6217,1.4607
92,1,1,1,11.5,0,0,51.90,-0.0148,3.4499,1.4613
93,1,1,1,9.6,0,0,56.23,-0.0148,3.4499,1.4613
94,1,1,1,7.9,0,0,54.46,-0.0148,3.4499,1.4613
95,1,1,1,11.8,0,0,51.39,-0.0146,3.7361,1.4527
96,1,1,1,9.5,0,0,56.00,-0.0146,3.7361,1.4527
97,1,1,1,11.2,0,0,57.66,-0.0146,3.7361,1.4527
98,1,1,1,11.2,0,0,46.71,-0.0146,3.6502,1.4522
99,1,1,1,10.6,0,0,61.49,-0.0146,3.6502,1.4522
100,1,1,1,11.2,0,0,51.21,-0.0146,3.6502,1.4522
101,1,1,1,10.0,0,0,72.08,-0.0146,5.2684,1.4519
102,1,1,1,10.4,0,0,61.59,-0.0146,5.2684,1.4519
103,1,1,1,9.1,0,0,61.08,-0.0146,5.2684,1.4519
104,1,1,1,10.9,0,0,46.42,-0.0145,3.8093,1.4485
105,1,1,1,10.9,0,0,50.22,-0.0145,3.8093,1.4485
106,1,1,1,11.6,0,0,67.73,-0.0145,3.8093,1.4485
107,1,1,1,11.8,0,0,57.62,-0.0146,4.2016,1.4498
108,1,1,1,8.6,0,0,61.34,-0.0146,4.2016,1.4498
109,1,1,1,10.1,0,0,57.88,-0.0146,4.2016,1.4498
109,1,1,1,10.1,0,0,67.49,nan,nan,nan
110,1,1,1,9.9,0,0,67.06,-0.0147,4.7505,1.4477
111,1,1,1,11.5,0,0,57.73,-0.0147,4.7505,1.4477
112,1,1,1,9.5,0,0,62.10,-0.0147,4.7505,1.4477
113,1,1,1,11.8,0,0,62.41,-0.0145,3.9152,1.4461
114,1,1,1,10.0,0,0,61.67,-0.0145,3.9152,1.4461
115,1,1,1,8.8,0,0,71.96,-0.0145,3.9152,1.4461
116,1,1,1,10.2,0,0,78.16,-0.0146,5.0638,1.4479
117,1,1,1,9.8,0,0,67.89,-0.0146,5.0638,1.4479
118,1,1,1,11.0,0,0,55.75,-0.0146,5.0638,1.4479
119,1,1,1,8.8,0,0,67.63,-0.0147,4.3708,1.4516
120,1,1,1,8.8,0,0,61.38,-0.0147,4.3708,1.4516
121,1,1,1,12.1,0,0,80.17,-0.0147,4.3708,1.4516
122,1,1,1,10.4,0,0,55.74,-0.0146,4.4229,1.4514
123,1,1,1,9.1,0,0,83.74,-0.0146,4.4229,1.4514
